PARAMETERS
Security level: 128 bits
Varying values of A for each curve
Co-factor is 4
Twist-secure curve
-------------------------
711 small_factor 8
712 not Montgomery
705 not Montgomery
704 not Montgomery
708 small_factor 8
715 small_factor 8
716 not Montgomery
717 not Montgomery
718 not Montgomery
719 small_factor 8
720 not Montgomery
713 not Montgomery
721 small_factor 3
714 small_factor 8
722 small_factor 3
725 not Montgomery
726 not Montgomery
724 small_factor 3
728 not Montgomery
723 not Montgomery
730 not Montgomery
732 not Montgomery
727 small_factor 3
733 not Montgomery
729 small_factor 3
734 not Montgomery
735 not Montgomery
736 not Montgomery
737 not Montgomery
738 not Montgomery
742 not Montgomery
741 small_factor 3
744 small_factor 8
740 small_factor 8
745 small_factor 8
746 not Montgomery
743 small_factor 8
739 small_factor 8
748 not Montgomery
731 small_factor 5
750 small_factor 8
751 not Montgomery
753 not Montgomery
749 small_factor 3
747 not Montgomery
756 not Montgomery
754 small_factor 3
757 small_factor 8
759 small_factor 8
760 not Montgomery
761 not Montgomery
762 not Montgomery
758 not Montgomery
763 small_factor 8
752 small_factor 5
764 not Montgomery
765 not Montgomery
755 small_factor 8
766 not Montgomery
767 not Montgomery
769 not Montgomery
772 not Montgomery
774 not Montgomery
775 not Montgomery
773 small_factor 3
768 not Montgomery
776 not Montgomery
779 not Montgomery
778 small_factor 8
781 small_factor 8
782 not Montgomery
777 small_factor 8
770 small_factor 5
784 not Montgomery
785 not Montgomery
786 small_factor 8
780 small_factor 8
787 small_factor 8
81 small_factor 31
790 not Montgomery
791 not Montgomery
793 not Montgomery
792 small_factor 3
783 small_factor 8
794 small_factor 3
789 small_factor 8
796 small_factor 8
798 not Montgomery
800 small_factor 8
797 small_factor 3
799 small_factor 3
801 not Montgomery
802 not Montgomery
803 not Montgomery
805 small_factor 8
788 small_factor 5
806 small_factor 3
804 not Montgomery
795 small_factor 5
808 not Montgomery
809 not Montgomery
807 not Montgomery
812 not Montgomery
811 not Montgomery
813 not Montgomery
814 small_factor 8
810 small_factor 3
815 not Montgomery
817 not Montgomery
819 not Montgomery
820 not Montgomery
821 not Montgomery
824 not Montgomery
823 not Montgomery
825 not Montgomery
826 not Montgomery
818 not Montgomery
827 not Montgomery
828 not Montgomery
829 not Montgomery
830 not Montgomery
831 small_factor 8
832 small_factor 8
822 small_factor 8
816 not Montgomery
833 not Montgomery
834 not Montgomery
836 not Montgomery
837 small_factor 8
771 small_factor 11
838 small_factor 8
839 not Montgomery
841 not Montgomery
843 not Montgomery
844 small_factor 8
68 small_factor 37
845 not Montgomery
846 not Montgomery
847 small_factor 8
848 not Montgomery
850 not Montgomery
852 not Montgomery
851 not Montgomery
853 not Montgomery
854 not Montgomery
849 not Montgomery
842 small_factor 8
855 small_factor 8
859 not Montgomery
857 not Montgomery
858 small_factor 3
861 small_factor 8
862 not Montgomery
856 not Montgomery
864 small_factor 8
865 not Montgomery
867 small_factor 8
860 small_factor 8
868 small_factor 8
863 small_factor 3
869 not Montgomery
870 not Montgomery
873 not Montgomery
875 not Montgomery
874 small_factor 3
871 not Montgomery
876 not Montgomery
872 not Montgomery
877 not Montgomery
878 small_factor 8
879 not Montgomery
880 not Montgomery
884 not Montgomery
885 small_factor 8
886 not Montgomery
882 small_factor 8
881 small_factor 8
888 not Montgomery
866 small_factor 5
889 not Montgomery
887 small_factor 3
891 not Montgomery
893 not Montgomery
894 small_factor 8
890 small_factor 3
895 small_factor 8
883 small_factor 5
897 small_factor 8
899 small_factor 8
900 not Montgomery
901 not Montgomery
892 not Montgomery
898 small_factor 3
903 not Montgomery
904 not Montgomery
905 not Montgomery
902 small_factor 3
906 not Montgomery
909 not Montgomery
910 not Montgomery
907 small_factor 3
911 not Montgomery
912 not Montgomery
913 not Montgomery
896 small_factor 8
915 not Montgomery
916 small_factor 8
918 not Montgomery
914 small_factor 3
920 not Montgomery
921 not Montgomery
922 not Montgomery
924 small_factor 8
923 small_factor 3
925 small_factor 8
917 small_factor 8
919 small_factor 8
926 small_factor 8
927 small_factor 3
930 small_factor 3
931 small_factor 8
928 not Montgomery
934 not Montgomery
933 not Montgomery
935 not Montgomery
936 not Montgomery
937 not Montgomery
938 not Montgomery
939 not Montgomery
932 small_factor 5
942 not Montgomery
943 not Montgomery
940 not Montgomery
944 not Montgomery
233 small_factor 31
946 not Montgomery
947 small_factor 8
948 small_factor 8
941 not Montgomery
950 not Montgomery
951 small_factor 8
952 small_factor 8
949 small_factor 3
953 not Montgomery
954 not Montgomery
956 not Montgomery
945 not Montgomery
955 small_factor 3
960 not Montgomery
961 not Montgomery
957 small_factor 8
962 not Montgomery
963 not Montgomery
958 small_factor 8
964 not Montgomery
967 not Montgomery
968 not Montgomery
969 not Montgomery
966 not Montgomery
965 small_factor 8
971 not Montgomery
972 not Montgomery
973 not Montgomery
970 not Montgomery
976 not Montgomery
974 not Montgomery
977 not Montgomery
975 small_factor 8
979 not Montgomery
980 not Montgomery
982 small_factor 3
981 not Montgomery
983 small_factor 8
984 not Montgomery
985 small_factor 8
978 not Montgomery
986 not Montgomery
988 not Montgomery
989 small_factor 8
990 not Montgomery
987 small_factor 3
991 not Montgomery
994 not Montgomery
992 small_factor 8
993 small_factor 8
995 not Montgomery
997 not Montgomery
998 not Montgomery
999 not Montgomery
1000 small_factor 8
1001 not Montgomery
1002 not Montgomery
996 not Montgomery
1003 not Montgomery
1004 small_factor 8
1006 not Montgomery
1007 small_factor 8
1008 not Montgomery
1009 small_factor 8
1005 not Montgomery
1012 not Montgomery
1010 not Montgomery
426 small_factor 31
1014 not Montgomery
1015 not Montgomery
1016 not Montgomery
1017 not Montgomery
1018 small_factor 8
1019 not Montgomery
1011 small_factor 8
1020 not Montgomery
1013 not Montgomery
1021 small_factor 8
1022 not Montgomery
1025 not Montgomery
1026 not Montgomery
1027 not Montgomery
1023 small_factor 3
1028 not Montgomery
1029 not Montgomery
1030 not Montgomery
1031 not Montgomery
1024 small_factor 8
1033 not Montgomery
1036 not Montgomery
1037 not Montgomery
1038 not Montgomery
1032 not Montgomery
1039 not Montgomery
1035 small_factor 8
1034 not Montgomery
1042 not Montgomery
1044 not Montgomery
1040 small_factor 8
1043 small_factor 8
1046 small_factor 3
1047 small_factor 8
1048 not Montgomery
1045 not Montgomery
1049 not Montgomery
1050 not Montgomery
1051 not Montgomery
1052 not Montgomery
1053 not Montgomery
1055 not Montgomery
1056 not Montgomery
1057 not Montgomery
1059 not Montgomery
1058 small_factor 3
1060 not Montgomery
1054 not Montgomery
1061 small_factor 8
1062 small_factor 3
1065 not Montgomery
1066 not Montgomery
1063 small_factor 8
1067 not Montgomery
1064 not Montgomery
1068 not Montgomery
1071 not Montgomery
1069 small_factor 3
1070 not Montgomery
1073 not Montgomery
1075 not Montgomery
1076 not Montgomery
1072 small_factor 5
1074 not Montgomery
1079 not Montgomery
1080 small_factor 8
1081 not Montgomery
1078 not Montgomery
1083 not Montgomery
1077 small_factor 5
1084 not Montgomery
1085 not Montgomery
1082 small_factor 8
1088 not Montgomery
1086 small_factor 8
1087 not Montgomery
1090 not Montgomery
1089 small_factor 8
1091 not Montgomery
1092 not Montgomery
1094 small_factor 8
1095 not Montgomery
1097 not Montgomery
1096 not Montgomery
1098 not Montgomery
1099 not Montgomery
1100 small_factor 8
1101 not Montgomery
1093 small_factor 8
1102 not Montgomery
1103 small_factor 8
1104 small_factor 8
1105 not Montgomery
1106 not Montgomery
1108 not Montgomery
1110 not Montgomery
1107 small_factor 8
1112 not Montgomery
1113 not Montgomery
1109 not Montgomery
1114 small_factor 3
1115 small_factor 3
1116 small_factor 8
1117 small_factor 8
1118 not Montgomery
1119 not Montgomery
1111 small_factor 5
1120 not Montgomery
1121 not Montgomery
1122 not Montgomery
1123 small_factor 8
1124 not Montgomery
1125 not Montgomery
1128 not Montgomery
1126 small_factor 3
1129 small_factor 8
1130 not Montgomery
1127 not Montgomery
1132 not Montgomery
1133 not Montgomery
1134 not Montgomery
1131 not Montgomery
1135 small_factor 3
1137 not Montgomery
1138 not Montgomery
1139 small_factor 8
1140 not Montgomery
1136 small_factor 8
1142 not Montgomery
1141 small_factor 3
1144 not Montgomery
1146 not Montgomery
1143 small_factor 3
1147 not Montgomery
1148 not Montgomery
1150 not Montgomery
1151 not Montgomery
1145 not Montgomery
1149 small_factor 3
1153 small_factor 8
1154 not Montgomery
1155 not Montgomery
1156 not Montgomery
1157 small_factor 8
1158 not Montgomery
1159 not Montgomery
648 small_factor 37
1161 not Montgomery
1152 small_factor 8
1160 small_factor 3
1162 not Montgomery
1163 not Montgomery
1164 not Montgomery
1165 not Montgomery
1167 not Montgomery
1168 not Montgomery
1169 not Montgomery
1171 small_factor 8
1173 not Montgomery
1174 not Montgomery
1170 small_factor 8
1166 not Montgomery
1175 not Montgomery
1177 not Montgomery
1176 small_factor 8
1178 not Montgomery
1179 small_factor 8
1181 not Montgomery
1182 not Montgomery
1183 not Montgomery
1184 not Montgomery
1185 not Montgomery
1180 small_factor 8
1187 not Montgomery
1188 small_factor 8
1189 not Montgomery
1190 not Montgomery
1191 not Montgomery
1186 not Montgomery
1193 small_factor 8
1194 not Montgomery
1195 not Montgomery
1196 not Montgomery
1198 small_factor 8
1192 small_factor 5
1199 small_factor 8
1200 not Montgomery
1201 not Montgomery
1197 not Montgomery
1202 not Montgomery
1203 small_factor 8
1205 small_factor 8
1207 not Montgomery
1204 small_factor 3
1206 not Montgomery
1208 not Montgomery
1209 small_factor 8
1212 not Montgomery
1210 not Montgomery
1213 not Montgomery
1211 small_factor 3
1216 not Montgomery
1217 not Montgomery
1215 small_factor 3
1218 not Montgomery
1219 not Montgomery
1220 small_factor 8
1214 small_factor 8
1222 not Montgomery
1224 not Montgomery
1223 not Montgomery
1225 not Montgomery
1221 not Montgomery
